City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bethel,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
albany,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
brisas barra de suchiate,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
college,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
papatowai,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
ushuaia,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
nuuk,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
gorontalo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
lihue,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
blackmans bay,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
cable beach,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
arraial do cabo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
margaret river,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
edinburgh of the seven seas,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
port-aux-francais,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
jamestown,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
adamstown,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
baker city,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
kalabo,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
tiksi,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
doma,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
grytviken,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
cedeira,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
takoradi,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
waitangi,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
wailua homesteads,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
mount gambier,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
papao,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
xilin hot,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
puerto san carlos,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
eydhafushi,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
fort st. john,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
bilibino,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
iqaluit,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
sao joao da barra,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
port mathurin,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
invercargill,42.6001,-73.9662,5.68,72,100,0.89,US,1707633456
