City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
albany,42.6001,-73.9662,0.23,74,46,0.89,US,Wed Feb 21 22:10:59 2024
bilibino,68.0546,166.4372,-29.07,91,97,3.39,RU,Wed Feb 21 22:12:32 2024
edinburgh of the seven seas,-37.0676,-12.3116,18.65,92,100,12.36,SH,Wed Feb 21 22:12:33 2024
vila velha,-20.3297,-40.2925,24.97,94,100,5.81,BR,Wed Feb 21 22:12:33 2024
troy,42.6056,-83.1499,11.8,62,40,2.06,US,Wed Feb 21 22:12:33 2024
nar'yan-mar,67.6713,53.087,-18.83,96,92,3.58,RU,Wed Feb 21 22:12:34 2024
kailua-kona,19.6406,-155.9956,25.98,66,75,3.09,US,Wed Feb 21 22:12:35 2024
wynyard,-41.0,145.7167,23.39,67,55,3.04,AU,Wed Feb 21 22:12:35 2024
illizi,26.4833,8.4667,9.1,54,1,1.64,DZ,Wed Feb 21 22:12:35 2024
mar del plata,-38.0023,-57.5575,23.38,88,30,5.81,AR,Wed Feb 21 22:08:08 2024
aykhal,66.0,111.5,-18.87,84,5,3.74,RU,Wed Feb 21 22:12:36 2024
blackmans bay,-43.0167,147.3167,33.62,34,66,6.7,AU,Wed Feb 21 22:12:36 2024
bredasdorp,-34.5322,20.0403,15.33,67,43,0.51,ZA,Wed Feb 21 22:12:37 2024
ponta delgada,37.7333,-25.6667,18.44,94,75,5.66,PT,Wed Feb 21 22:12:38 2024
port-aux-francais,-49.35,70.2167,5.26,71,62,14.7,TF,Wed Feb 21 22:12:38 2024
labrador city,52.9463,-66.9114,-10.05,85,100,2.57,CA,Wed Feb 21 22:12:39 2024
waitangi,-43.9535,-176.5597,15.46,82,47,3.58,NZ,Wed Feb 21 22:12:39 2024
kirensk,57.7853,108.1119,-20.58,92,98,0.45,RU,Wed Feb 21 22:12:39 2024
ribeira grande,38.5167,-28.7,15.43,77,66,4.47,PT,Wed Feb 21 22:12:40 2024
bardai,11.65,7.2333,20.4,17,79,3.69,NG,Wed Feb 21 22:12:40 2024
san pedro pochutla,15.7333,-96.4667,22.65,71,0,1.53,MX,Wed Feb 21 22:12:40 2024
adamstown,-25.066,-130.1015,26.02,79,100,2.69,PN,Wed Feb 21 22:12:40 2024
lihue,21.9789,-159.3672,24.58,75,40,6.17,US,Wed Feb 21 22:12:41 2024
puerto madero,14.7208,-92.4215,23.11,88,0,0.0,MX,Wed Feb 21 22:12:41 2024
wailua homesteads,22.0669,-159.378,24.24,76,40,6.17,US,Wed Feb 21 22:12:41 2024
guerrero negro,27.9769,-114.0611,16.11,82,63,5.63,MX,Wed Feb 21 22:12:41 2024
jamestown,42.097,-79.2353,8.77,63,80,2.68,US,Wed Feb 21 22:10:54 2024
rancho palos verdes,33.7445,-118.387,14.73,90,20,1.79,US,Wed Feb 21 22:12:42 2024
mbanza-ngungu,-5.25,14.8667,20.65,95,100,0.43,CD,Wed Feb 21 22:12:42 2024
nemuro,43.3236,145.575,-4.06,48,85,8.92,JP,Wed Feb 21 22:12:42 2024
puerto baquerizo moreno,-0.9,-89.6,26.26,84,100,2.47,EC,Wed Feb 21 22:12:42 2024
ust'-barguzin,53.45,108.9833,-18.07,72,8,2.16,RU,Wed Feb 21 22:12:47 2024
poso,-1.3959,120.7524,31.25,63,90,2.75,ID,Wed Feb 21 22:12:48 2024
antofagasta,-23.65,-70.4,21.15,80,61,1.01,CL,Wed Feb 21 22:12:48 2024
oranjemund,-28.55,16.4333,15.45,92,9,5.96,NA,Wed Feb 21 22:12:48 2024
tralee,52.2704,-9.7026,5.76,80,79,4.52,IE,Wed Feb 21 22:12:48 2024
nuuk,64.1835,-51.7216,-8.66,79,100,6.17,GL,Wed Feb 21 22:12:49 2024
sbikha,35.9333,10.0208,6.57,78,3,2.88,TN,Wed Feb 21 22:12:49 2024
sitka,57.0531,-135.33,6.94,76,100,2.57,US,Wed Feb 21 22:12:49 2024
ojinaga,29.5667,-104.4167,27.53,13,0,5.66,MX,Wed Feb 21 22:12:49 2024
cill airne,52.05,-9.5167,4.74,87,92,2.32,IE,Wed Feb 21 22:12:49 2024
mirpur sakro,24.5474,67.6277,22.48,16,0,4.3,PK,Wed Feb 21 22:12:49 2024
port elizabeth,-33.918,25.5701,17.4,89,0,1.79,ZA,Wed Feb 21 22:12:50 2024
leamington,42.0549,-82.6062,9.39,39,100,1.34,CA,Wed Feb 21 22:09:08 2024
grytviken,-54.2811,-36.5092,2.84,73,13,3.36,GS,Wed Feb 21 22:12:50 2024
geraldton,-28.7667,114.6,30.23,37,58,9.77,AU,Wed Feb 21 22:12:51 2024
tarawa,1.419,172.984,31.05,79,40,4.12,KI,Wed Feb 21 22:12:51 2024
afaahiti,-17.75,-149.2833,28.92,79,61,4.38,PF,Wed Feb 21 22:12:51 2024
bonthe,7.5264,-12.505,25.71,93,44,1.57,SL,Wed Feb 21 22:12:51 2024
adiake,5.2863,-3.304,27.01,86,85,2.39,CI,Wed Feb 21 22:12:51 2024
tiksi,71.6872,128.8694,-27.07,97,92,3.67,RU,Wed Feb 21 22:12:52 2024
atafu village,-8.5421,-172.5159,29.72,73,95,5.32,TK,Wed Feb 21 22:12:52 2024
pingliang,35.5392,106.6861,-4.68,73,100,2.96,CN,Wed Feb 21 22:12:52 2024
georgetown,5.4112,100.3354,31.96,66,20,2.57,MY,Wed Feb 21 22:12:52 2024
west island,-12.1568,96.8225,30.99,66,5,4.63,CC,Wed Feb 21 22:12:53 2024
hermanus,-34.4187,19.2345,13.78,69,54,3.16,ZA,Wed Feb 21 22:12:53 2024
portland,45.5234,-122.6762,9.75,93,75,3.6,US,Wed Feb 21 22:06:52 2024
avarua,-21.2078,-159.775,29.03,89,40,3.09,CK,Wed Feb 21 22:12:53 2024
iqaluit,63.7506,-68.5145,-30.17,61,100,2.07,CA,Wed Feb 21 22:12:53 2024
st. john's,47.5649,-52.7093,-9.13,84,96,1.79,CA,Wed Feb 21 22:12:53 2024
ustrzyki dolne,49.4304,22.5938,3.62,89,98,6.83,PL,Wed Feb 21 22:12:54 2024
whitehorse,60.7161,-135.0538,-4.59,89,8,3.87,CA,Wed Feb 21 22:12:54 2024
ocotlan de morelos,16.8,-96.6667,15.78,39,0,1.31,MX,Wed Feb 21 22:12:54 2024
puerto aysen,-45.4,-72.7,10.0,98,100,2.27,CL,Wed Feb 21 22:12:54 2024
ghormach,35.7306,63.7826,3.54,65,0,1.73,AF,Wed Feb 21 22:12:54 2024
den burg,53.0542,4.7972,9.98,95,100,5.14,NL,Wed Feb 21 22:12:55 2024
paraty,-23.2178,-44.7131,23.59,97,97,1.27,BR,Wed Feb 21 22:12:55 2024
ushuaia,-54.8,-68.3,6.14,97,99,2.11,AR,Wed Feb 21 22:12:55 2024
galliano,29.4422,-90.2992,15.0,83,0,4.59,US,Wed Feb 21 22:08:50 2024
torghay,49.6339,63.4981,-15.31,97,93,3.67,KZ,Wed Feb 21 22:12:55 2024
anadyr,64.75,177.4833,-13.72,84,100,13.0,RU,Wed Feb 21 22:12:55 2024
dunedin,-45.8742,170.5036,16.0,69,18,2.68,NZ,Wed Feb 21 22:12:55 2024
tual,-5.6667,132.75,28.97,76,58,2.52,ID,Wed Feb 21 22:12:52 2024
yellowknife,62.456,-114.3525,-16.99,98,67,3.53,CA,Wed Feb 21 22:12:56 2024
kirakira,-10.4544,161.9205,28.43,85,99,2.66,SB,Wed Feb 21 22:12:56 2024
wotho,10.1657,166.0102,26.65,87,79,10.65,MH,Wed Feb 21 22:12:56 2024
tazovsky,67.4667,78.7,-16.65,95,97,6.42,RU,Wed Feb 21 22:12:56 2024
port mathurin,-19.6833,63.4167,27.12,87,94,11.29,MU,Wed Feb 21 22:12:56 2024
jaraiz de la vera,40.0601,-5.7543,9.53,81,100,1.34,ES,Wed Feb 21 22:12:57 2024
thompson,55.7435,-97.8558,-13.91,85,100,1.03,CA,Wed Feb 21 22:12:57 2024
puerto natales,-51.7236,-72.4875,4.83,91,100,2.36,CL,Wed Feb 21 22:12:57 2024
kudahuvadhoo,2.6708,72.8944,27.11,81,92,6.63,MV,Wed Feb 21 22:12:57 2024
hotan,37.0997,79.9269,-2.0,64,100,1.52,CN,Wed Feb 21 22:12:57 2024
prince rupert,54.3161,-130.3201,3.05,93,75,1.03,CA,Wed Feb 21 22:12:58 2024
